name,,,,,,,,,,
accI,2191,13070,3574,639,11828,1444,499,6957,2720,5580
aflII,6540,6078,30012,5872,,,,,,
avaI,4720,14677,1602,6888,3730,1881,4716,1674,8614,
bglII,415,22010,13286,2392,651,60,9688,,,
bamhI,5505,16841,5626,6527,7233,6770,,,,
bclI,8844,517,4459,18909,4623,6330,2684,1576,560,
cvnI,26718,7601,14183,,,,,,,
ecorI,21226,4878,5643,7421,5804,3530,,,,
hindIII,23130,2027,2322,9416,564,125,6557,4361,,
kpnI,17057,1503,29942,,,,,,,
narI,45680,2822,,,,,,,,
ncoI,19329,4572,3967,16380,4254,,,,,
ndeI,27631,2253,3796,2433,556,1689,1774,8370,,
nruI,4592,23460,3653,704,9401,6692,,,,
pvuI,11936,14321,9533,12712,,,,,,
salI,32745,499,15258,,,,,,,
smalI,19399,12220,8271,8612,,,,,,
sphI,2216,9790,11940,429,3003,12044,9080,,,
sstII,20323,210,1076,18780,8113,,,,,
xbaI,24508,23994,,,,,,,,
xhoI,33498,15004,,,,,,,,
xmaIII,19945,16710,11847,,,,,,,
sstI,24776,1105,22621,,,,,,,
